epoch,total_loss,data_loss,boundary_loss,pde_loss,u_l2_error,k_l2_error,learning_rate
1,892.5868815104167,0.11744415958722433,0.20135597135304123,81.37291997273763,0.28786250948905945,0.5233383774757385,0.001
2,201.67879460652668,0.020949284654731552,0.06370998273099152,18.483315165837606,0.13572072982788086,0.38993039727211,0.001
3,9.33066033522288,0.0037648796103894712,0.0035720988089451566,0.7091010635097822,0.05973905324935913,0.25507932901382446,0.001
4,1.5013429204622903,0.002021504915319383,0.0019348028232343494,0.02971101813018322,0.04992346093058586,0.2481650561094284,0.001
5,1.2188319881757101,0.0018992827972397208,0.001977606455329806,0.007142993823314707,0.05180973559617996,0.2507091462612152,0.001
6,1.1890721917152405,0.0019374615202347437,0.0016707902968240282,0.005326238150397937,0.05201931297779083,0.2516733705997467,0.001
7,1.174948012828827,0.0019308999141988655,0.0016415282463033995,0.004534523064891497,0.05162545666098595,0.2508981227874756,0.001
8,1.1629074494043985,0.0019198271057878932,0.001637561204067121,0.003923776955343783,0.0514572449028492,0.25039446353912354,0.001
9,1.1517465114593506,0.001912185736000538,0.0016189574574430783,0.003375789949980875,0.05109715461730957,0.25000476837158203,0.001
10,1.1416231274604798,0.0019044973189011217,0.0016008244749779502,0.002929201303049922,0.050885822623968124,0.24968063831329346,0.001
